Partner Name,American Express MIDs,MasterCard MIDs,Visa MIDs,"Address (Building Name/Number, Street)",Postcode,Town/City,County/State,Country,Action
Pizza Express,9421346362,5403068,5403068,29 Wardour Street Soho London,W1D 6PS,London - Wardour Street,,,A
Pizza Express,9421401878,5402821,5402821,30 Coptic Street Bloosbury London,WC1A 1NS,London - Coptic Street,,,A
Pizza Express,9421399528,5409958,5409958,363 Fulham Road Chelsea London,SW10 9TN,London - Fulham Road (363),,,A
Pizza Express,9421346289,5413679,5413679,137 Notting Hill Gate London,W11 3LB,London - Notting Hill Gate,,,A
Pizza Express,9421164252,5409594,5409594,10 Dean Street Soho London,W1D 3RW,London - Dean Street,,,A
Pizza Express,9421038316,5402888,5402888,80 Fore Street Hertford Hertfordshire,SG14 1BY,Hertford,,,A
Pizza Express,9421346347,5409966,5409966,230-236 Lavender Hill Battersea London,SW11 1LE,Clapham - Lavender Hill ,,,A
Pizza Express,9421143785,5403266,5403266,11 Waldegrave Road Teddington,TW11 8LA,Teddington,,,A
Pizza Express,9421108366,5413505,5413505,32 Earl Street Maidstone Kent,ME14 1PF,Maidstone,,,A
Pizza Express,9421189440,5413240,5413240,40 Abbeygate Street Bury St Edmunds Suffolk,IP33 1LW,Bury St Edmunds,,,A
Pizza Express,9421039363,5413661,5413661,30 High Street Highgate London,N6 5JG,Highgate,,,A
Pizza Express,9421397050,5403126,5403126,895-896 Fulham Road Fulham London,SW6 5HU,London  - Fulham Road (895),,,A
Pizza Express,9421423369,5410550,5410550,The Golden Cross 8 Golden Cross Cornmarket Street Oxford,OX1 3EX,Oxford - Golden Cross,,,A
Pizza Express,9421516659,5409974,5409974,46-54 Battersea Bridge Road Battersea London,SW11 3AG,Battersea,,,A
Pizza Express,9421039157,5409784,5409784,76 High Road South Woodford London,E18 2NA,South Woodford,,,A
Pizza Express,9421539594,5402854,5402854,7a Jesus Lane Cambridge,CB5 8BA,Cambridge - Jesus Lane,,,A
Pizza Express,9421039462,5413554,5413554,146/148 High Street Sevenoaks Kent,TN13 1XE,Sevenoaks,,,A
Pizza Express,9421415951,5403191,5403191,84 High Street Wimbledon London,SW19 5EG,Wimbledon Village,,,A
